,date,artistName,audioType,msPlayed,weekday
0,2018-12-08,Winthrop Brookhouse,Music,0,Saturday
1,2018-12-08,Nick Hakim,Music,325,Saturday
2,2018-12-08,John Mayer,Music,441,Saturday
3,2018-12-08,John Legend,Music,938,Saturday
4,2018-12-08,Jaden,Music,1130,Saturday
5,2018-12-08,Broken Bells,Music,1685,Saturday
6,2018-12-08,Blond Piano,Music,2205,Saturday
7,2018-12-08,ILLENIUM,Music,2560,Saturday
8,2018-12-08,Guantanamo Bay Surf Club,Music,2901,Saturday
9,2018-12-08,Nick Murphy / Chet Faker,Music,4010,Saturday
10,2018-12-08,Glass Animals,Music,4167,Saturday
11,2018-12-08,Choker,Music,5204,Saturday
12,2018-12-08,Joywave,Music,6677,Saturday
13,2018-12-08,Piano Dreamers,Music,25170,Saturday
14,2018-12-08,The Strokes,Music,50217,Saturday
15,2018-12-08,Nickelback,Music,83013,Saturday
16,2018-12-08,The Arcs,Music,93802,Saturday
17,2018-12-08,Travis Scott,Music,95961,Saturday
18,2018-12-08,Unknown Artist,Music,112459,Saturday
19,2018-12-08,Nohidea,Music,118017,Saturday
20,2018-12-08,The Roots,Music,135626,Saturday
21,2018-12-08,SiR,Music,142666,Saturday
22,2018-12-08,James Blake,Music,175445,Saturday
23,2018-12-08,Toro y Moi,Music,202146,Saturday
24,2018-12-08,Mobley,Music,212142,Saturday
25,2018-12-08,Jinsang,Music,222391,Saturday
26,2018-12-08,Nothing But Thieves,Music,234666,Saturday
27,2018-12-08,Coldplay,Music,235586,Saturday
28,2018-12-08,Frank Ocean,Music,272794,Saturday
29,2018-12-08,The Cinematic Orchestra,Music,370666,Saturday
30,2018-12-08,Young the Giant,Music,646661,Saturday
31,2018-12-08,Radiohead,Music,997958,Saturday
32,2018-12-08,XXXTENTACION,Music,1022015,Saturday
33,2018-12-09,Abhi//Dijon,Music,719,Sunday
34,2018-12-09,Lou Berry,Music,746,Sunday
35,2018-12-09,Tom Misch,Music,812,Sunday
36,2018-12-09,alt-J,Music,853,Sunday
37,2018-12-09,Zach Farache,Music,874,Sunday
38,2018-12-09,Everything Is Recorded,Music,896,Sunday
39,2018-12-09,ISLAND,Music,917,Sunday
40,2018-12-09,Thundercat,Music,938,Sunday
41,2018-12-09,Big Data,Music,960,Sunday
42,2018-12-09,Pusha T,Music,975,Sunday
43,2018-12-09,Chelou,Music,1002,Sunday
44,2018-12-09,The Black Keys,Music,1002,Sunday
45,2018-12-09,Angelo Mota,Music,1024,Sunday
46,2018-12-09,Real Estate,Music,1066,Sunday
47,2018-12-09,Minke,Music,1088,Sunday
48,2018-12-09,Danny Dwyer,Music,1109,Sunday
49,2018-12-09,Hozier,Music,1130,Sunday
50,2018-12-09,X Ambassadors,Music,1216,Sunday
51,2018-12-09,Ari Lennox,Music,1230,Sunday
52,2018-12-09,James Tillman,Music,1280,Sunday
53,2018-12-09,James Blake,Music,1300,Sunday
54,2018-12-09,Theophilus London,Music,1301,Sunday
55,2018-12-09,Bruno Major,Music,1392,Sunday
56,2018-12-09,The Flying Stars Of Brooklyn NY,Music,1547,Sunday
57,2018-12-09,ILLENIUM,Music,1556,Sunday
58,2018-12-09,Mars Today,Music,1578,Sunday
59,2018-12-09,Vince Staples,Music,1602,Sunday
60,2018-12-09,Jamie Isaac,Music,1642,Sunday
61,2018-12-09,Jackson Lundy,Music,1663,Sunday
62,2018-12-09,Shakey Graves,Music,1685,Sunday
63,2018-12-09,Moonchild,Music,1748,Sunday
64,2018-12-09,Matt Corby,Music,1770,Sunday
65,2018-12-09,Migos,Music,1770,Sunday
66,2018-12-09,Choker,Music,1791,Sunday
67,2018-12-09,Teyana Taylor,Music,1791,Sunday
68,2018-12-09,Lewis Del Mar,Music,1813,Sunday
69,2018-12-09,Radiohead,Music,1876,Sunday
70,2018-12-09,Jordan Rakei,Music,1898,Sunday
71,2018-12-09,Moon Taxi,Music,1940,Sunday
72,2018-12-09,KALEO,Music,1983,Sunday
73,2018-12-09,Joywave,Music,2026,Sunday
74,2018-12-09,Roman GianArthur,Music,2026,Sunday
75,2018-12-09,ODIE,Music,2031,Sunday
76,2018-12-09,"Tyler, The Creator",Music,2044,Sunday
77,2018-12-09,Jaden,Music,2132,Sunday
78,2018-12-09,RY X,Music,2133,Sunday
79,2018-12-09,ZZ Ward,Music,2165,Sunday
80,2018-12-09,Van Hunt,Music,2197,Sunday
81,2018-12-09,Cory Asbury,Music,2298,Sunday
82,2018-12-09,BADBADNOTGOOD,Music,2312,Sunday
83,2018-12-09,Stanley Turrentine,Music,2496,Sunday
84,2018-12-09,Vance Joy,Music,2517,Sunday
85,2018-12-09,Mathias,Music,2560,Sunday
86,2018-12-09,Everlast,Music,2687,Sunday
87,2018-12-09,Chance the Rapper,Music,2705,Sunday
88,2018-12-09,Steve Lacy,Music,2818,Sunday
89,2018-12-09,Noirre,Music,2879,Sunday
90,2018-12-09,Red Hot Chili Peppers,Music,2943,Sunday
91,2018-12-09,Allen Stone,Music,2965,Sunday
92,2018-12-09,Reaper,Music,2986,Sunday
93,2018-12-09,Raveena,Music,3008,Sunday
94,2018-12-09,Harry Hudson,Music,3050,Sunday
95,2018-12-09,Col3trane,Music,3071,Sunday
96,2018-12-09,Fleece,Music,3157,Sunday
97,2018-12-09,Feed Me Jack,Music,3306,Sunday
98,2018-12-09,JP Cooper,Music,3328,Sunday
99,2018-12-09,Syd,Music,3391,Sunday
100,2018-12-09,The Fray,Music,3433,Sunday
101,2018-12-09,Mild High Club,Music,3498,Sunday
102,2018-12-09,St. Paul & The Broken Bones,Music,3562,Sunday
103,2018-12-09,Mt. Joy,Music,3626,Sunday
104,2018-12-09,Joji,Music,3648,Sunday
105,2018-12-09,Nick Murphy / Chet Faker,Music,3690,Sunday
106,2018-12-09,The Roots,Music,3946,Sunday
107,2018-12-09,The Weeknd,Music,4224,Sunday
108,2018-12-09,Coldplay,Music,4447,Sunday
109,2018-12-09,Bon Iver,Music,4457,Sunday
110,2018-12-09,John Legend,Music,4640,Sunday
111,2018-12-09,Curtis Harding,Music,5322,Sunday
112,2018-12-09,Broken Bells,Music,5704,Sunday
113,2018-12-09,Davie,Music,5824,Sunday
114,2018-12-09,Drake,Music,5886,Sunday
115,2018-12-09,Louis The Child,Music,6122,Sunday
116,2018-12-09,Her,Music,6165,Sunday
117,2018-12-09,BROCKHAMPTON,Music,6263,Sunday
118,2018-12-09,Mirror Signal,Music,6539,Sunday
119,2018-12-09,Lil Baby,Music,6976,Sunday
120,2018-12-09,Portugal. The Man,Music,7407,Sunday
121,2018-12-09,Justin Timberlake,Music,7465,Sunday
122,2018-12-09,Miles Davis,Music,8617,Sunday
123,2018-12-09,Fat Night,Music,9253,Sunday
124,2018-12-09,Menomena,Music,9578,Sunday
125,2018-12-09,Son Little,Music,9876,Sunday
126,2018-12-09,Harry Styles,Music,10687,Sunday
127,2018-12-09,Nothing But Thieves,Music,11305,Sunday
128,2018-12-09,SiR,Music,13546,Sunday
