,date,Music,Podcast,weekday
0,2018-12-08,5481644,0,Saturday
1,2018-12-09,7185418,0,Sunday
2,2018-12-10,9236502,0,Monday
3,2018-12-11,8469242,0,Tuesday
4,2018-12-12,11664912,0,Wednesday
5,2018-12-13,9825045,0,Thursday
6,2018-12-14,9486365,0,Friday
7,2018-12-15,20695614,0,Saturday
8,2018-12-16,3232312,0,Sunday
9,2018-12-17,4965688,0,Monday
10,2018-12-18,13910312,4898339,Tuesday
11,2018-12-19,2559432,631516,Wednesday
12,2018-12-20,8439177,3646502,Thursday
13,2018-12-21,520724,0,Friday
14,2018-12-22,1967951,772907,Saturday
15,2018-12-23,2542997,2477483,Sunday
16,2018-12-24,1031859,5062975,Monday
17,2018-12-25,1440317,0,Tuesday
18,2018-12-26,3298315,3286121,Wednesday
19,2018-12-27,12113248,0,Thursday
20,2018-12-28,1343,0,Friday
21,2018-12-29,7486226,36408,Saturday
22,2018-12-31,23013884,3565445,Monday
23,2019-01-01,4461617,0,Tuesday
24,2019-01-02,4455842,2832717,Wednesday
25,2019-01-03,3573971,3893499,Thursday
26,2019-01-04,4793275,6755321,Friday
27,2019-01-05,7620176,0,Saturday
28,2019-01-06,10581988,4874306,Sunday
29,2019-01-07,7034647,11047432,Monday
30,2019-01-08,8661569,3090561,Tuesday
31,2019-01-09,4860801,2770117,Wednesday
32,2019-01-10,5597922,5390603,Thursday
33,2019-01-11,4961314,3021962,Friday
34,2019-01-12,296920,366620,Saturday
35,2019-01-13,8686519,7586410,Sunday
36,2019-01-14,571064,2234755,Monday
37,2019-01-15,13975234,8386513,Tuesday
38,2019-01-16,4512242,8086713,Wednesday
39,2019-01-17,13959813,0,Thursday
40,2019-01-18,12516337,0,Friday
41,2019-01-19,16639127,0,Saturday
42,2019-01-20,10370937,0,Sunday
43,2019-01-21,9494615,2473554,Monday
44,2019-01-22,5888355,2078832,Tuesday
45,2019-01-23,11779037,2723511,Wednesday
46,2019-01-24,4440678,4906419,Thursday
47,2019-01-25,10711155,0,Friday
48,2019-01-26,2915211,0,Saturday
49,2019-01-27,10217749,0,Sunday
50,2019-01-28,4234914,2386521,Monday
51,2019-01-29,13067255,1095481,Tuesday
52,2019-01-30,12797084,1504512,Wednesday
53,2019-01-31,19657570,0,Thursday
54,2019-02-01,13098014,8267148,Friday
