artistName,trackName,msPlayed,inLibrary
070 Shake,I Laugh When I'm With Friends But Sad When I'm Alone,1033,0.0
070 Shake,I Laugh When I'm With Friends But Sad When I'm Alone,4342,0.0
100s,Middle of the Night,3530,0.0
100s,Middle of the Night,221083,0.0
2 Chainz,4 AM,831,0.0
2 Chainz,4 AM,835,0.0
2 Chainz,4 AM,882,0.0
2 Chainz,4 AM,1439,0.0
2 Chainz,4 AM,3320,0.0
2 Chainz,4 AM,7338,0.0
2 Chainz,4 AM,99450,0.0
2 Chainz,4 AM,109900,0.0
2 Chainz,4 AM,111101,0.0
2 Chainz,4 AM,133717,0.0
2 Chainz,4 AM,240140,0.0
2 Chainz,4 AM,255035,0.0
2 Chainz,4 AM,255560,0.0
2 Chainz,Back On The Bullshit,1173,0.0
2 Chainz,Back On The Bullshit,2026,0.0
2 Chainz,Back On The Bullshit,83313,0.0
2 Chainz,Gotta Lotta,315,0.0
2 Chainz,Gotta Lotta,597,0.0
2 Chainz,Gotta Lotta,1091,0.0
2 Chainz,Gotta Lotta,1207,0.0
2 Chainz,Gotta Lotta,1253,0.0
2 Chainz,Gotta Lotta,1280,0.0
2 Chainz,Gotta Lotta,2136,0.0
2 Chainz,Gotta Lotta,3924,0.0
2 Chainz,Gotta Lotta,68173,0.0
2 Chainz,Gotta Lotta,214720,0.0
2 Chainz,High Top Versace (feat. Young Thug),406,0.0
2 Chainz,High Top Versace (feat. Young Thug),1555,0.0
2 Chainz,High Top Versace (feat. Young Thug),14558,0.0
2 Chainz,Momma I Hit A Lick (feat. Kendrick Lamar),10181,0.0
2 Chainz,NCAA,0,0.0
2 Chainz,NCAA,1892,0.0
2 Chainz,NCAA,4508,0.0
2 Chainz,NCAA,5205,0.0
2 Chainz,NCAA,17830,0.0
2 Chainz,NCAA,18753,0.0
2 Chainz,NCAA,64255,0.0
2 Chainz,Rolls Royce Weather Every Day,1091,0.0
2 Chainz,Rolls Royce Weather Every Day,1194,0.0
2 Chainz,Rolls Royce Weather Every Day,1462,0.0
2 Chainz,Rolls Royce Weather Every Day,1718,0.0
2 Chainz,Rolls Royce Weather Every Day,2089,0.0
2 Chainz,Rolls Royce Weather Every Day,2763,0.0
2 Chainz,Rolls Royce Weather Every Day,3506,0.0
2 Chainz,Rolls Royce Weather Every Day,5154,0.0
2 Chainz,Whip (feat. Travis Scott),448,0.0
2 Chainz,Whip (feat. Travis Scott),452,0.0
2 Chainz,Whip (feat. Travis Scott),626,0.0
2 Chainz,Whip (feat. Travis Scott),850,0.0
2 Chainz,Whip (feat. Travis Scott),998,0.0
2 Chainz,Whip (feat. Travis Scott),1068,0.0
2 Chainz,Whip (feat. Travis Scott),1429,0.0
2 Chainz,Whip (feat. Travis Scott),3250,0.0
2 Chainz,Whip (feat. Travis Scott),3703,0.0
2 Chainz,Whip (feat. Travis Scott),3818,0.0
2 Chainz,Whip (feat. Travis Scott),4388,0.0
2 Chainz,Whip (feat. Travis Scott),5000,0.0
2 Chainz,Whip (feat. Travis Scott),14907,0.0
2 Chainz,Whip (feat. Travis Scott),43850,0.0
2 Chainz,Whip (feat. Travis Scott),55309,0.0
2 Chainz,Whip (feat. Travis Scott),69414,0.0
2 Chainz,Whip (feat. Travis Scott),73653,0.0
2 Chainz,Whip (feat. Travis Scott),77299,0.0
2 Chainz,Whip (feat. Travis Scott),81823,0.0
2 Chainz,Whip (feat. Travis Scott),85128,0.0
2 Chainz,Whip (feat. Travis Scott),91328,0.0
2 Chainz,Whip (feat. Travis Scott),99626,0.0
2 Chainz,Whip (feat. Travis Scott),112245,0.0
2 Chainz,Whip (feat. Travis Scott),131904,0.0
2 Chainz,Whip (feat. Travis Scott),136981,0.0
2 Chainz,Whip (feat. Travis Scott),140608,0.0
2 Chainz,Whip (feat. Travis Scott),142918,0.0
2 Chainz,Whip (feat. Travis Scott),162346,0.0
2 Chainz,Whip (feat. Travis Scott),165973,0.0
2 Chainz,Whip (feat. Travis Scott),166626,0.0
2 Chainz,Whip (feat. Travis Scott),186186,0.0
2 Chainz,Whip (feat. Travis Scott),213610,0.0
2 Chainz,Whip (feat. Travis Scott),215488,0.0
2 Chainz,Whip (feat. Travis Scott),226600,0.0
2 Chainz,Whip (feat. Travis Scott),307306,0.0
2 Chainz,Whip (feat. Travis Scott),416021,0.0
2 Chainz,Whip (feat. Travis Scott),562911,0.0
21 Savage,1.5,3343,0.0
21 Savage,4L,11029,0.0
21 Savage,Bank Account,938,0.0
21 Savage,Bank Account,975,0.0
21 Savage,Bank Account,1114,0.0
21 Savage,Bank Account,1416,0.0
21 Savage,Bank Account,2716,0.0
21 Savage,Bank Account,3529,0.0
21 Savage,Bank Account,12501,0.0
21 Savage,Ghostface Killers,895,0.0
21 Savage,Ghostface Killers,48001,0.0
21 Savage,Ghostface Killers,120720,0.0
21 Savage,No Heart,18720,0.0
21 Savage,Ocean Drive,464,0.0
21 Savage,Ocean Drive,703,0.0
21 Savage,Ocean Drive,1160,0.0
21 Savage,Ocean Drive,1173,0.0
21 Savage,Ocean Drive,1300,0.0
21 Savage,Ocean Drive,1439,0.0
21 Savage,Ocean Drive,1450,0.0
21 Savage,Ocean Drive,1764,0.0
21 Savage,Ocean Drive,2623,0.0
