,date,artistName,trackName,audioType,msPlayed,weekday
0,2018-12-08,Blond Piano,White Ferarri,Music,0,Saturday
1,2018-12-08,Blond Piano,Skyline To,Music,2205,Saturday
2,2018-12-08,Broken Bells,The Ghost Inside,Music,1685,Saturday
3,2018-12-08,Choker,Starfruit LA,Music,895,Saturday
4,2018-12-08,Choker,Jet Stereo,Music,4309,Saturday
5,2018-12-08,Coldplay,Sparks,Music,1173,Saturday
6,2018-12-08,Coldplay,Another's Arms,Music,234413,Saturday
7,2018-12-08,Frank Ocean,Seigfried,Music,88278,Saturday
8,2018-12-08,Frank Ocean,Pink + White,Music,184516,Saturday
9,2018-12-08,Glass Animals,Walla Walla,Music,4167,Saturday
10,2018-12-08,Guantanamo Bay Surf Club,Escargot Blues,Music,2901,Saturday
11,2018-12-08,ILLENIUM,With You (feat. Quinn XCII),Music,2560,Saturday
12,2018-12-08,Jaden,George Jeff,Music,1130,Saturday
13,2018-12-08,James Blake,Retrograde,Music,175445,Saturday
14,2018-12-08,Jinsang,Warm Tea.,Music,11949,Saturday
15,2018-12-08,Jinsang,Evening.,Music,16579,Saturday
16,2018-12-08,Jinsang,Kona Park,Music,193863,Saturday
17,2018-12-08,John Legend,Overload,Music,938,Saturday
18,2018-12-08,John Mayer,I Will Be Found (Lost At Sea),Music,441,Saturday
19,2018-12-08,Joywave,Tongues,Music,6677,Saturday
20,2018-12-08,Mobley,Solo,Music,212142,Saturday
21,2018-12-08,Nick Hakim,The Light,Music,325,Saturday
22,2018-12-08,Nick Murphy / Chet Faker,Blush,Music,4010,Saturday
23,2018-12-08,Nickelback,Holding on to Heaven,Music,39594,Saturday
24,2018-12-08,Nickelback,Someday,Music,43419,Saturday
25,2018-12-08,Nohidea,Jasmine,Music,5851,Saturday
26,2018-12-08,Nohidea,promise [interlude],Music,44991,Saturday
27,2018-12-08,Nohidea,dream machine,Music,67175,Saturday
28,2018-12-08,Nothing But Thieves,Broken Machine,Music,234666,Saturday
29,2018-12-08,Piano Dreamers,7 Years,Music,25170,Saturday
30,2018-12-08,Radiohead,Glass Eyes,Music,851,Saturday
31,2018-12-08,Radiohead,Daydreaming,Music,384438,Saturday
32,2018-12-08,Radiohead,The Numbers,Music,612669,Saturday
33,2018-12-08,SiR,That's Alright,Music,142666,Saturday
34,2018-12-08,The Arcs,Put a Flower in Your Pocket,Music,93802,Saturday
35,2018-12-08,The Cinematic Orchestra,To Build A Home,Music,370666,Saturday
36,2018-12-08,The Roots,Sleep,Music,135626,Saturday
37,2018-12-08,The Strokes,"Call It Fate, Call It Karma",Music,50217,Saturday
38,2018-12-08,Toro y Moi,So Many Details,Music,202146,Saturday
39,2018-12-08,Travis Scott,NO BYSTANDERS,Music,2709,Saturday
40,2018-12-08,Travis Scott,STOP TRYING TO BE GOD,Music,3135,Saturday
41,2018-12-08,Travis Scott,ASTROTHUNDER,Music,9301,Saturday
42,2018-12-08,Travis Scott,WHO? WHAT!,Music,80816,Saturday
43,2018-12-08,Unknown Artist,Unknown Track,Music,112459,Saturday
44,2018-12-08,Winthrop Brookhouse,Coal Bop,Music,0,Saturday
45,2018-12-08,XXXTENTACION,One Minute (feat. Kanye West & Travis Barker),Music,986,Saturday
46,2018-12-08,XXXTENTACION,Introduction,Music,2147,Saturday
47,2018-12-08,XXXTENTACION,Guardian angel,Music,2878,Saturday
48,2018-12-08,XXXTENTACION,I don’t let go,Music,17542,Saturday
49,2018-12-08,XXXTENTACION,difference (interlude),Music,71217,Saturday
50,2018-12-08,XXXTENTACION,STARING AT THE SKY,Music,85123,Saturday
51,2018-12-08,XXXTENTACION,BAD!,Music,94245,Saturday
52,2018-12-08,XXXTENTACION,Train food,Music,140704,Saturday
53,2018-12-08,XXXTENTACION,what are you so afraid of,Music,150769,Saturday
54,2018-12-08,XXXTENTACION,whoa (mind in awe),Music,456404,Saturday
55,2018-12-08,Young the Giant,Glory,Music,159381,Saturday
56,2018-12-08,Young the Giant,Art Exhibit,Music,487280,Saturday
57,2018-12-09,A Blaze of Feather,Carousel,Music,19902,Sunday
58,2018-12-09,A$AP Rocky,Hun43rd,Music,1787,Sunday
59,2018-12-09,A$AP Rocky,Purity,Music,213744,Sunday
60,2018-12-09,Abhi//Dijon,Thug Meditation,Music,719,Sunday
61,2018-12-09,Allen Stone,Celebrate Tonight,Music,896,Sunday
62,2018-12-09,Allen Stone,Million,Music,2069,Sunday
63,2018-12-09,Anderson .Paak,Celebrate,Music,960,Sunday
64,2018-12-09,Anderson .Paak,Bubblin,Music,1322,Sunday
65,2018-12-09,Anderson .Paak,The Chase (feat. Kadhja Bonet),Music,4650,Sunday
66,2018-12-09,Anderson .Paak,Room in Here (feat. The Game & Sonyae Elise),Music,168153,Sunday
67,2018-12-09,Angelo Mota,Madonna,Music,1024,Sunday
68,2018-12-09,Ari Lennox,Night Drive,Music,1230,Sunday
69,2018-12-09,Ariel Pink,Baby,Music,34887,Sunday
70,2018-12-09,Atlas Bound,Lullaby,Music,24461,Sunday
71,2018-12-09,BADBADNOTGOOD,Time Moves Slow,Music,2312,Sunday
72,2018-12-09,BROCKHAMPTON,GUMMY,Music,1230,Sunday
73,2018-12-09,BROCKHAMPTON,TOKYO,Music,2154,Sunday
74,2018-12-09,BROCKHAMPTON,JELLO,Music,2879,Sunday
75,2018-12-09,Big Data,Dangerous (feat. Joywave),Music,960,Sunday
76,2018-12-09,Bon Iver,22 (OVER S∞∞N),Music,1407,Sunday
77,2018-12-09,Bon Iver,29 #Strafford APTS,Music,3050,Sunday
78,2018-12-09,Broken Bells,The High Road,Music,960,Sunday
79,2018-12-09,Broken Bells,The Ghost Inside,Music,1137,Sunday
80,2018-12-09,Broken Bells,Leave It Alone,Music,3607,Sunday
81,2018-12-09,Bruno Major,There's Little Left,Music,139,Sunday
82,2018-12-09,Bruno Major,Second Time,Music,406,Sunday
83,2018-12-09,Bruno Major,Just The Same,Music,847,Sunday
84,2018-12-09,Chance the Rapper,Juke Jam (feat. Justin Bieber & Towkio),Music,2705,Sunday
85,2018-12-09,Chelou,Halfway to Nowhere,Music,1002,Sunday
86,2018-12-09,Childish Gambino,What Kind Of Love,Music,1764,Sunday
87,2018-12-09,Childish Gambino,Feels Like Summer,Music,32371,Sunday
88,2018-12-09,Choker,Starfruit LA,Music,1791,Sunday
89,2018-12-09,Christina Aguilera,Beautiful,Music,922822,Sunday
90,2018-12-09,Col3trane,Penelope,Music,3071,Sunday
91,2018-12-09,Coldplay,Spies,Music,768,Sunday
92,2018-12-09,Coldplay,Up in Flames,Music,831,Sunday
93,2018-12-09,Coldplay,The Scientist,Music,2848,Sunday
94,2018-12-09,Cory Asbury,Reckless Love,Music,2298,Sunday
95,2018-12-09,Curtis Harding,Need My Baby,Music,746,Sunday
96,2018-12-09,Curtis Harding,As I Am,Music,896,Sunday
97,2018-12-09,Curtis Harding,Wednesday Morning Atonement,Music,1462,Sunday
98,2018-12-09,Curtis Harding,Beautiful People,Music,2218,Sunday
99,2018-12-09,DJ Premier,My Space Baby,Music,180480,Sunday
100,2018-12-09,Danny Dwyer,What You Want,Music,1109,Sunday
101,2018-12-09,Davie,Your Love's A Vibe,Music,5824,Sunday
102,2018-12-09,Dayglow,Hot Rod,Music,204014,Sunday
103,2018-12-09,Drake,4422,Music,1002,Sunday
104,2018-12-09,Drake,Nonstop,Music,4884,Sunday
105,2018-12-09,Electric Guest,Awake,Music,938,Sunday
106,2018-12-09,Electric Guest,Back For Me,Music,1088,Sunday
107,2018-12-09,Electric Guest,The Bait,Music,2020,Sunday
108,2018-12-09,Electric Guest,Control,Music,105965,Sunday
109,2018-12-09,Electric Guest,This Head I Hold,Music,175773,Sunday
110,2018-12-09,Electric Guest,Over,Music,237440,Sunday
111,2018-12-09,Everlast,What It's Like,Music,2687,Sunday
112,2018-12-09,Everything Is Recorded,Show Love,Music,896,Sunday
113,2018-12-09,Fat Night,The Warmth,Music,9253,Sunday
114,2018-12-09,Feed Me Jack,Twice,Music,3306,Sunday
115,2018-12-09,Flamingosis,Down for the Fifth Time,Music,203870,Sunday
116,2018-12-09,Fleece,Under the Light,Music,3157,Sunday
117,2018-12-09,Frank Ocean,Nights,Music,725,Sunday
118,2018-12-09,Frank Ocean,Pink + White,Music,1855,Sunday
119,2018-12-09,Frank Ocean,Self Control,Music,2131,Sunday
120,2018-12-09,Frank Ocean,Moon River,Music,11242,Sunday
121,2018-12-09,Frank Ocean,Seigfried,Music,25258,Sunday
122,2018-12-09,Frank Ocean,Nikes,Music,172629,Sunday
123,2018-12-09,Gabriel Garzón-Montano,6 8,Music,278,Sunday
124,2018-12-09,Gabriel Garzón-Montano,The Game,Music,9535,Sunday
125,2018-12-09,Gabriel Garzón-Montano,Naeja,Music,265635,Sunday
126,2018-12-09,Glass Animals,Pork Soda,Music,1066,Sunday
127,2018-12-09,Glass Animals,Life Itself,Music,1535,Sunday
128,2018-12-09,Glass Animals,Pools,Music,4480,Sunday
129,2018-12-09,Glass Animals,Flip,Music,9621,Sunday
130,2018-12-09,Glass Animals,Poplar St,Music,263627,Sunday
131,2018-12-09,Harry Hudson,No Good,Music,3050,Sunday
132,2018-12-09,Harry Styles,Ever Since New York,Music,10687,Sunday
133,2018-12-09,Her,Shuggie - Bonus Track,Music,6165,Sunday
134,2018-12-09,Hozier,NFWMB,Music,1130,Sunday
135,2018-12-09,Huncho Jack,Motorcycle Patches,Music,626,Sunday
136,2018-12-09,Huncho Jack,Where U From,Music,1151,Sunday
137,2018-12-09,Huncho Jack,Black & Chinese,Music,118705,Sunday
138,2018-12-09,Huncho Jack,Modern Slavery,Music,149241,Sunday
139,2018-12-09,ILLENIUM,With You (feat. Quinn XCII),Music,1556,Sunday
140,2018-12-09,ISLAND,Stargazer (Live & Acoustic),Music,917,Sunday
141,2018-12-09,JP Cooper,She's On My Mind,Music,3328,Sunday
142,2018-12-09,Jackson Lundy,Calypso,Music,1663,Sunday
143,2018-12-09,Jaden,George Jeff,Music,746,Sunday
144,2018-12-09,Jaden,Watch Me,Music,1386,Sunday
145,2018-12-09,James Blake,Retrograde,Music,1300,Sunday
146,2018-12-09,James Tillman,And Then,Music,1280,Sunday
147,2018-12-09,Jamie Isaac,Find the Words - JI Edit,Music,1642,Sunday
148,2018-12-09,John Legend,Show Me,Music,684,Sunday
149,2018-12-09,John Legend,Save Room,Music,1023,Sunday
150,2018-12-09,John Legend,Overload,Music,2933,Sunday
151,2018-12-09,Joji,YEAH RIGHT,Music,3648,Sunday
152,2018-12-09,Jordan Rakei,Alright,Music,1898,Sunday
153,2018-12-09,Joywave,When You're Bored,Music,2026,Sunday
154,2018-12-09,Justin Timberlake,Supplies,Music,7465,Sunday
155,2018-12-09,KALEO,Hot Blood,Music,895,Sunday
156,2018-12-09,KALEO,Broken Bones,Music,1088,Sunday
157,2018-12-09,KIDS SEE GHOSTS,Cudi Montage,Music,2580,Sunday
158,2018-12-09,KIDS SEE GHOSTS,4th Dimension,Music,35840,Sunday
159,2018-12-09,Kanye West,Heard 'Em Say,Music,767,Sunday
160,2018-12-09,Kanye West,Violent Crimes,Music,215320,Sunday
161,2018-12-09,Leon Bridges,Bet Ain't Worth the Hand,Music,960,Sunday
162,2018-12-09,Leon Bridges,Shy,Music,2538,Sunday
163,2018-12-09,Leon Bridges,River,Music,15845,Sunday
164,2018-12-09,Lewis Del Mar,Wave(s),Music,1813,Sunday
165,2018-12-09,Lil Baby,Yes Indeed,Music,6976,Sunday
166,2018-12-09,Lou Berry,Bloom - Remastered,Music,746,Sunday
167,2018-12-09,Louis The Child,World On Fire,Music,6122,Sunday
168,2018-12-09,Maroon 5,Happy Christmas (War Is Over),Music,29183,Sunday
169,2018-12-09,Mars Today,Cool It,Music,1578,Sunday
170,2018-12-09,Masego,Disconnected (Shorty from VA),Music,1023,Sunday
171,2018-12-09,Masego,Navajo,Music,2580,Sunday
172,2018-12-09,Masego,Shawty Fishin' (Blame The Net),Music,4800,Sunday
173,2018-12-09,Masego,Lavish Lullaby,Music,29333,Sunday
174,2018-12-09,Masego,Old Age,Music,73773,Sunday
175,2018-12-09,Mathias,Timeless (feat. Drop),Music,2560,Sunday
